query,task_type
Pull out the dates and amounts from the vendor proposal,data_extraction
Create a SQL query joining tickets and employees on id,sql_generation
SQL to update the country of transactions where id = 5,sql_generation
Condense the following Slack conversation into two sentences,summarization
List all the action items from the product review,data_extraction
Pull out the dates and amounts from the news article,data_extraction
Debug this Ruby code that throws a null reference error,code_generation
Tag this contract clause with the correct department,classification
Who painted the Mona Lisa?,short_qa
Extract all email addresses from this sprint retrospective,data_extraction
Define the API rate limits in one line,short_qa
SQL to update the channel of sessions where id = 5,sql_generation
Write SQL to count rows in the employees table grouped by updated_at,sql_generation
Generate a SQL query to get all amount from logins,sql_generation
Condense the following call transcript into two sentences,summarization
Summarize the key points from the research article,summarization
Triage this policy document into the right queue,classification
Write an email apologizing for the latency spike,email_drafting
Give me a short summary of the news article,summarization
Create a SQL query joining employees and shipments on id,sql_generation
Label the sentiment of this meeting notes,classification
Is this sprint retrospective a complaint or a question,classification
Can you tell me when was the internet invented?,short_qa
TL;DR of the data migration,summarization
Write SQL to count rows in the logins table grouped by plan,sql_generation
What category does this chat transcript belong to,classification
Classify this user feedback as urgent or normal,classification
What is the largest ocean on earth?,short_qa
Label the sentiment of this incident report,classification
Extract all email addresses from this design document,data_extraction
Help me draft a reminder email to the account owner,email_drafting
Compose a polite reply to the project manager regarding the shipping delay,email_drafting
Is this security advisory a complaint or a question,classification
Is this email thread a complaint or a question,classification
Write an email apologizing for the mobile app crash,email_drafting
Write a query to get the top 10 campaigns by plan,sql_generation
Shorten this meeting notes for an executive audience,summarization
Give me the SQL to find employees where updated_at is null,sql_generation
List all the action items from the onboarding guide,data_extraction
Find all the entities mentioned in this bug report,data_extraction
List all the action items from the FAQ page,data_extraction
Find all the entities mentioned in this security advisory,data_extraction
Can you tell me what is the capital of France?,short_qa
Classify this performance review as urgent or normal,classification
"What is the tallest mountain in the world, briefly?",short_qa
Deduce the most likely reason for the login outage,reasoning
Is this product review a complaint or a question,classification
SQL to update the plan of transactions where id = 5,sql_generation
Label the sentiment of this customer complaint,classification
Should we proceed with the new billing system? Explain your reasoning,reasoning
Quick question: Who is the author of 1984?,short_qa
Find all the entities mentioned in this support ticket,data_extraction
Summarize the key points from the chat transcript,summarization
Write a query to get the top 10 subscriptions by currency,sql_generation
"What is the currency of Japan, briefly?",short_qa
"How many days are in a leap year, briefly?",short_qa
Write a query to get the top 10 transactions by region,sql_generation
Why did the latency spike happen and what should we do,reasoning
Summarize this onboarding guide in 3 bullet points,summarization
Draft a short message thanking a colleague,email_drafting
Create a SQL query joining transactions and campaigns on id,sql_generation
Refactor this JavaScript function to be more readable,code_generation
Parse the contract clause and return structured fields,data_extraction
Condense the following performance review into two sentences,summarization
What is the freezing point of water?,short_qa
Find all the entities mentioned in this vendor proposal,data_extraction
Summarize this call transcript in 3 bullet points,summarization
Write a query to get the top 10 transactions by country,sql_generation
Refactor this SQL function to be more readable,code_generation
Walk me through step by step how to resolve the failed deployment,reasoning
What category does this release notes belong to,classification
Give me a short summary of the meeting notes,summarization
Shorten this sprint retrospective for an executive audience,summarization
Classify this news article as urgent or normal,classification
What category does this email thread belong to,classification
Generate a SQL query to get all amount from orders,sql_generation
Write a query to get the top 10 products by updated_at,sql_generation
Write SQL to count rows in the refunds table grouped by score,sql_generation
Explain this JavaScript stack trace and how to fix it,code_generation
What category does this news article belong to,classification
List all the action items from the vendor proposal,data_extraction
Find all the entities mentioned in this design document,data_extraction
Write a query to get the top 10 invoices by region,sql_generation
Draft an email to the account owner about the latency spike,email_drafting
Write a query to get the top 10 products by total,sql_generation
List all the action items from the incident report,data_extraction
Classify this sprint retrospective as urgent or normal,classification
Can you tell me what language is spoken in Brazil?,short_qa
Parse the onboarding guide and return structured fields,data_extraction
Write a query to get the top 10 sessions by total,sql_generation
Why did the password reset flow happen and what should we do,reasoning
Parse the user feedback and return structured fields,data_extraction
Categorize the following performance review,classification
Give me a short summary of the user feedback,summarization
Debug this SQL code that throws a null reference error,code_generation
Create a SQL query joining transactions and orders on id,sql_generation
Compare the pros and cons of the pricing change,reasoning
What category does this meeting notes belong to,classification
TL;DR of the subscription renewal,summarization
"When did World War II end, briefly?",short_qa
Is this news article a complaint or a question,classification
Classify this customer complaint as urgent or normal,classification
Triage this call transcript into the right queue,classification
Extract the order number and status from the sprint retrospective,data_extraction
Why does my Python program raise an index out of range exception,code_generation
Analyze the root cause of the failed deployment,reasoning
Create a SQL query joining orders and invoices on id,sql_generation
Analyze the root cause of the inventory mismatch,reasoning
What category does this quarterly report belong to,classification
Categorize the following sprint retrospective,classification
Compare the pros and cons of our refund policy,reasoning
Walk me through step by step how to resolve the login outage,reasoning
Create a SQL query joining users and refunds on id,sql_generation
Shorten this design document for an executive audience,summarization
Can you tell me what is the boiling point of water?,short_qa
Draft an email to a new client about the latency spike,email_drafting
Is this bug report a complaint or a question,classification
Create a SQL query joining transactions and customers on id,sql_generation
Generate a SQL query to get all category from customers,sql_generation
Deduce the most likely reason for the email bounce rate,reasoning
Generate a SQL query to get all total from invoices,sql_generation
Write SQL to count rows in the logins table grouped by total,sql_generation
Give me the SQL to find transactions where region is null,sql_generation
Tag this call transcript with the correct department,classification
Quick question: What is the tallest mountain in the world?,short_qa
Pull out the dates and amounts from the chat transcript,data_extraction
Label the sentiment of this product review,classification
Summarize this security advisory in 3 bullet points,summarization
Should we proceed with the onboarding flow? Explain your reasoning,reasoning
Classify this design document as urgent or normal,classification
Write SQL to count rows in the subscriptions table grouped by updated_at,sql_generation
Label the sentiment of this chat transcript,classification
SQL to update the total of shipments where id = 5,sql_generation
SQL to update the amount of tickets where id = 5,sql_generation
Summarize the key points from the vendor proposal,summarization
Triage this Slack conversation into the right queue,classification
Write a query to get the top 10 sessions by created_at,sql_generation
Create a SQL query joining invoices and refunds on id,sql_generation
Shorten this bug report for an executive audience,summarization
Summarize this research article in 3 bullet points,summarization
Why does my TypeScript program raise an index out of range exception,code_generation
Write SQL to count rows in the refunds table grouped by updated_at,sql_generation
Is this chat transcript a complaint or a question,classification
List all the action items from the performance review,data_extraction
Write TypeScript code to read a CSV file,code_generation
Summarize this Slack conversation in 3 bullet points,summarization
Shorten this onboarding guide for an executive audience,summarization
Why does my Java program raise an index out of range exception,code_generation
Define the data migration in one line,short_qa
Explain this Java stack trace and how to fix it,code_generation
Give me the SQL to find employees where tier is null,sql_generation
Write an email apologizing for the data migration,email_drafting
Summarize this vendor proposal in 3 bullet points,summarization
Why does my JavaScript program raise an index out of range exception,code_generation
Condense the following FAQ page into two sentences,summarization
Write a query to get the top 10 employees by amount,sql_generation
Write an email apologizing for the password reset flow,email_drafting
Give me the SQL to find sessions where total is null,sql_generation
TL;DR of the email bounce rate,summarization
SQL to update the created_at of subscriptions where id = 5,sql_generation
Extract all email addresses from this contract clause,data_extraction
Define the onboarding flow in one line,short_qa
Tag this news article with the correct department,classification
Write SQL to count rows in the tickets table grouped by status,sql_generation
Compose a polite reply to a new client regarding the subscription renewal,email_drafting
Extract all email addresses from this user feedback,data_extraction
Why did the inventory mismatch happen and what should we do,reasoning
Summarize this chat transcript in 3 bullet points,summarization
Tag this bug report with the correct department,classification
Can you tell me how many continents are there?,short_qa
Define the mobile app crash in one line,short_qa
Write a query to get the top 10 products by region,sql_generation
Define our refund policy in one line,short_qa
"How many planets are in the solar system, briefly?",short_qa
Classify this product review as urgent or normal,classification
Walk me through step by step how to resolve the mobile app crash,reasoning
Draft an email to the vendor about the latency spike,email_drafting
Quick question: What is the freezing point of water?,short_qa
Parse the vendor proposal and return structured fields,data_extraction
Refactor this TypeScript function to be more readable,code_generation
Classify this bug report as urgent or normal,classification
Generate a SQL query to get all priority from tickets,sql_generation
